Indicator,Measure,Year,Jan-Mar (Provisional),Apr-Jun (Provisional),Jul-Sep (Provisional),Oct-Dec (Provisional),Year-to-Date (Provisional),County,URL
Opioid Overdose Deaths,Count,2020.0,150,180,,,330,Palm Beach,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=50&ddlYear=2020&selTab=1
Drug Overdose Deaths,Count,2020.0,164,194,,,358,Palm Beach,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=50&ddlYear=2020&selTab=1
Emergency Medical Service Responses to a Suspected Non-fatal Opioid-involved Overdose,Count,2020.0,707,738,781,,"2,226",Palm Beach,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=50&ddlYear=2020&selTab=1
Emergency Medical Service Responses to a Suspected Non-fatal Drug Overdose Including Opioids,Count,2020.0,"1,017","1,062","1,130",,"3,209",Palm Beach,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=50&ddlYear=2020&selTab=1
All Drug Non-fatal Overdose Emergency Department Visits,Count,2020.0,872,751,793,725.0,"3,141",Palm Beach,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=50&ddlYear=2020&selTab=1
Opioid-Involved Non-fatal Overdose Emergency Department Visits,Count,2020.0,486,437,450,395.0,"1,768",Palm Beach,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=50&ddlYear=2020&selTab=1
Heroin-Involved Non-fatal Overdose Emergency Department Visits,Count,2020.0,295,245,234,170.0,944,Palm Beach,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=50&ddlYear=2020&selTab=1
Stimulant-involved Non-fatal Overdose Emergency Department Visits,Count,2020.0,52,37,35,32.0,156,Palm Beach,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=50&ddlYear=2020&selTab=1
All Drug Non-fatal Overdose Hospitalizations,Count,2020.0,441,463,490,431.0,"1,825",Palm Beach,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=50&ddlYear=2020&selTab=1
Opioid-involved Non-fatal Overdose Hospitalizations,Count,2020.0,142,163,149,152.0,606,Palm Beach,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=50&ddlYear=2020&selTab=1
Heroin-involved Non-fatal Overdose Hospitalizations,Count,2020.0,57,71,44,50.0,222,Palm Beach,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=50&ddlYear=2020&selTab=1
Stimulant-involved Non-fatal Overdose Hospitalizations,Count,2020.0,71,74,67,65.0,277,Palm Beach,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=50&ddlYear=2020&selTab=1
Florida Poison Information Network Calls Related to Opioids,Count,2020.0,30,29,47,35.0,141,Palm Beach,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=50&ddlYear=2020&selTab=1
Opioid Overdose Deaths,Count,2020.0,33.0,20.0,,,53.0,Osceola,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=49&ddlYear=2020&selTab=1
Drug Overdose Deaths,Count,2020.0,39.0,21.0,,,60.0,Osceola,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=49&ddlYear=2020&selTab=1
Emergency Medical Service Responses to a Suspected Non-fatal Opioid-involved Overdose,Count,2020.0,92.0,73.0,76.0,,241.0,Osceola,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=49&ddlYear=2020&selTab=1
Emergency Medical Service Responses to a Suspected Non-fatal Drug Overdose Including Opioids,Count,2020.0,258.0,244.0,297.0,,799.0,Osceola,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=49&ddlYear=2020&selTab=1
All Drug Non-fatal Overdose Emergency Department Visits,Count,2020.0,197.0,183.0,185.0,180.0,745.0,Osceola,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=49&ddlYear=2020&selTab=1
Opioid-Involved Non-fatal Overdose Emergency Department Visits,Count,2020.0,98.0,73.0,83.0,77.0,331.0,Osceola,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=49&ddlYear=2020&selTab=1
Heroin-Involved Non-fatal Overdose Emergency Department Visits,Count,2020.0,62.0,37.0,49.0,25.0,173.0,Osceola,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=49&ddlYear=2020&selTab=1
Stimulant-involved Non-fatal Overdose Emergency Department Visits,Count,2020.0,11.0,12.0,12.0,9.0,44.0,Osceola,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=49&ddlYear=2020&selTab=1
All Drug Non-fatal Overdose Hospitalizations,Count,2020.0,96.0,140.0,104.0,132.0,472.0,Osceola,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=49&ddlYear=2020&selTab=1
Opioid-involved Non-fatal Overdose Hospitalizations,Count,2020.0,21.0,40.0,25.0,31.0,117.0,Osceola,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=49&ddlYear=2020&selTab=1
Heroin-involved Non-fatal Overdose Hospitalizations,Count,2020.0,12.0,23.0,9.0,11.0,55.0,Osceola,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=49&ddlYear=2020&selTab=1
Stimulant-involved Non-fatal Overdose Hospitalizations,Count,2020.0,19.0,17.0,22.0,20.0,78.0,Osceola,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=49&ddlYear=2020&selTab=1
Florida Poison Information Network Calls Related to Opioids,Count,2020.0,8.0,7.0,16.0,7.0,38.0,Osceola,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=49&ddlYear=2020&selTab=1
Opioid Overdose Deaths,Count,2020.0,0,0,,,0,Lafayette,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=34&ddlYear=2020&selTab=1
Drug Overdose Deaths,Count,2020.0,0,0,,,0,Lafayette,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=34&ddlYear=2020&selTab=1
Emergency Medical Service Responses to a Suspected Non-fatal Opioid-involved Overdose,Count,2020.0,0,0,0,,0,Lafayette,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=34&ddlYear=2020&selTab=1
Emergency Medical Service Responses to a Suspected Non-fatal Drug Overdose Including Opioids,Count,2020.0,1,1,7,,9,Lafayette,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=34&ddlYear=2020&selTab=1
All Drug Non-fatal Overdose Emergency Department Visits,Count,2020.0,<5,<5,<5,<5,9,Lafayette,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=34&ddlYear=2020&selTab=1
Opioid-Involved Non-fatal Overdose Emergency Department Visits,Count,2020.0,<5,<5,<5,<5,<5,Lafayette,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=34&ddlYear=2020&selTab=1
Heroin-Involved Non-fatal Overdose Emergency Department Visits,Count,2020.0,<5,<5,<5,<5,<5,Lafayette,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=34&ddlYear=2020&selTab=1
Stimulant-involved Non-fatal Overdose Emergency Department Visits,Count,2020.0,<5,<5,<5,<5,<5,Lafayette,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=34&ddlYear=2020&selTab=1
All Drug Non-fatal Overdose Hospitalizations,Count,2020.0,<5,<5,<5,<5,6,Lafayette,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=34&ddlYear=2020&selTab=1
Opioid-involved Non-fatal Overdose Hospitalizations,Count,2020.0,<5,<5,<5,<5,<5,Lafayette,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=34&ddlYear=2020&selTab=1
Heroin-involved Non-fatal Overdose Hospitalizations,Count,2020.0,<5,<5,<5,<5,<5,Lafayette,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=34&ddlYear=2020&selTab=1
Stimulant-involved Non-fatal Overdose Hospitalizations,Count,2020.0,<5,<5,<5,<5,<5,Lafayette,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=34&ddlYear=2020&selTab=1
Florida Poison Information Network Calls Related to Opioids,Count,2020.0,0,0,0,0,0,Lafayette,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=34&ddlYear=2020&selTab=1
Opioid Overdose Deaths,Count,2019.0,0,0,0,0,0,Madison,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=40&ddlYear=2019&selTab=1
Drug Overdose Deaths,Count,2019.0,0,1,1,0,2,Madison,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=40&ddlYear=2019&selTab=1
Emergency Medical Service Responses to a Suspected Non-fatal Opioid-involved Overdose,Count,2019.0,2,0,0,2,4,Madison,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=40&ddlYear=2019&selTab=1
Emergency Medical Service Responses to a Suspected Non-fatal Drug Overdose Including Opioids,Count,2019.0,7,3,1,5,16,Madison,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=40&ddlYear=2019&selTab=1
All Drug Non-fatal Overdose Emergency Department Visits,Count,2019.0,9,<5,5,6,22,Madison,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=40&ddlYear=2019&selTab=1
Opioid-Involved Non-fatal Overdose Emergency Department Visits,Count,2019.0,<5,<5,<5,<5,<5,Madison,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=40&ddlYear=2019&selTab=1
Heroin-Involved Non-fatal Overdose Emergency Department Visits,Count,2019.0,<5,<5,<5,<5,<5,Madison,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=40&ddlYear=2019&selTab=1
Stimulant-involved Non-fatal Overdose Emergency Department Visits,Count,2019.0,<5,<5,<5,<5,<5,Madison,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=40&ddlYear=2019&selTab=1
All Drug Non-fatal Overdose Hospitalizations,Count,2019.0,<5,<5,<5,6,14,Madison,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=40&ddlYear=2019&selTab=1
Opioid-involved Non-fatal Overdose Hospitalizations,Count,2019.0,<5,<5,<5,<5,<5,Madison,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=40&ddlYear=2019&selTab=1
Heroin-involved Non-fatal Overdose Hospitalizations,Count,2019.0,<5,<5,<5,<5,<5,Madison,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=40&ddlYear=2019&selTab=1
Stimulant-involved Non-fatal Overdose Hospitalizations,Count,2019.0,<5,<5,<5,<5,<5,Madison,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=40&ddlYear=2019&selTab=1
Florida Poison Information Network Calls Related to Opioids,Count,2019.0,1,0,0,0,1,Madison,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=40&ddlYear=2019&selTab=1
Opioid Overdose Deaths,Count,2018.0,0,2,0,0,2,Madison,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=40&ddlYear=2018&selTab=1
Drug Overdose Deaths,Count,2018.0,0,3,1,0,4,Madison,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=40&ddlYear=2018&selTab=1
Emergency Medical Service Responses to a Suspected Non-fatal Opioid-involved Overdose,Count,2018.0,2,0,0,0,2,Madison,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=40&ddlYear=2018&selTab=1
Emergency Medical Service Responses to a Suspected Non-fatal Drug Overdose Including Opioids,Count,2018.0,6,7,4,0,17,Madison,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=40&ddlYear=2018&selTab=1
All Drug Non-fatal Overdose Emergency Department Visits,Count,2018.0,8,<5,10,<5,24,Madison,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=40&ddlYear=2018&selTab=1
Opioid-Involved Non-fatal Overdose Emergency Department Visits,Count,2018.0,<5,<5,<5,<5,<5,Madison,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=40&ddlYear=2018&selTab=1
Heroin-Involved Non-fatal Overdose Emergency Department Visits,Count,2018.0,<5,<5,<5,<5,<5,Madison,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=40&ddlYear=2018&selTab=1
Stimulant-involved Non-fatal Overdose Emergency Department Visits,Count,2018.0,<5,<5,<5,<5,<5,Madison,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=40&ddlYear=2018&selTab=1
All Drug Non-fatal Overdose Hospitalizations,Count,2018.0,<5,<5,<5,<5,12,Madison,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=40&ddlYear=2018&selTab=1
Opioid-involved Non-fatal Overdose Hospitalizations,Count,2018.0,<5,<5,<5,<5,<5,Madison,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=40&ddlYear=2018&selTab=1
Heroin-involved Non-fatal Overdose Hospitalizations,Count,2018.0,<5,<5,<5,<5,<5,Madison,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=40&ddlYear=2018&selTab=1
Stimulant-involved Non-fatal Overdose Hospitalizations,Count,2018.0,<5,<5,<5,<5,<5,Madison,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=40&ddlYear=2018&selTab=1
Florida Poison Information Network Calls Related to Opioids,Count,2018.0,0,0,2,0,2,Madison,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=40&ddlYear=2018&selTab=1
Opioid Overdose Deaths,Count,2016.0,28.0,19,29.0,35.0,111.0,Pasco,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=51&ddlYear=2016&selTab=1
Drug Overdose Deaths,Count,2016.0,34.0,25,39.0,40.0,138.0,Pasco,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=51&ddlYear=2016&selTab=1
Emergency Medical Service Responses to a Suspected Non-fatal Opioid-involved Overdose,Count,2016.0,82.0,79,94.0,65.0,320.0,Pasco,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=51&ddlYear=2016&selTab=1
Emergency Medical Service Responses to a Suspected Non-fatal Drug Overdose Including Opioids,Count,2016.0,108.0,104,122.0,73.0,407.0,Pasco,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=51&ddlYear=2016&selTab=1
All Drug Non-fatal Overdose Emergency Department Visits,Count,2016.0,167.0,198,215.0,179.0,759.0,Pasco,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=51&ddlYear=2016&selTab=1
Opioid-Involved Non-fatal Overdose Emergency Department Visits,Count,2016.0,35.0,39,48.0,63.0,185.0,Pasco,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=51&ddlYear=2016&selTab=1
Heroin-Involved Non-fatal Overdose Emergency Department Visits,Count,2016.0,7.0,10,18.0,24.0,59.0,Pasco,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=51&ddlYear=2016&selTab=1
Stimulant-involved Non-fatal Overdose Emergency Department Visits,Count,2016.0,7.0,9,11.0,8.0,35.0,Pasco,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=51&ddlYear=2016&selTab=1
All Drug Non-fatal Overdose Hospitalizations,Count,2016.0,193.0,210,245.0,208.0,856.0,Pasco,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=51&ddlYear=2016&selTab=1
Opioid-involved Non-fatal Overdose Hospitalizations,Count,2016.0,71.0,74,75.0,91.0,311.0,Pasco,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=51&ddlYear=2016&selTab=1
Heroin-involved Non-fatal Overdose Hospitalizations,Count,2016.0,6.0,<5,5.0,10.0,24.0,Pasco,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=51&ddlYear=2016&selTab=1
Stimulant-involved Non-fatal Overdose Hospitalizations,Count,2016.0,13.0,23,30.0,29.0,95.0,Pasco,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=51&ddlYear=2016&selTab=1
Florida Poison Information Network Calls Related to Opioids,Count,2016.0,26.0,29,21.0,18.0,94.0,Pasco,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=51&ddlYear=2016&selTab=1
Opioid Overdose Deaths,Count,2016.0,8,11,5,4,28.0,St. Johns,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=55&ddlYear=2016&selTab=1
Drug Overdose Deaths,Count,2016.0,8,11,6,4,29.0,St. Johns,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=55&ddlYear=2016&selTab=1
Emergency Medical Service Responses to a Suspected Non-fatal Opioid-involved Overdose,Count,2016.0,15,16,19,31,81.0,St. Johns,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=55&ddlYear=2016&selTab=1
Emergency Medical Service Responses to a Suspected Non-fatal Drug Overdose Including Opioids,Count,2016.0,70,80,100,93,343.0,St. Johns,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=55&ddlYear=2016&selTab=1
All Drug Non-fatal Overdose Emergency Department Visits,Count,2016.0,52,53,54,83,242.0,St. Johns,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=55&ddlYear=2016&selTab=1
Opioid-Involved Non-fatal Overdose Emergency Department Visits,Count,2016.0,20,13,12,26,71.0,St. Johns,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=55&ddlYear=2016&selTab=1
Heroin-Involved Non-fatal Overdose Emergency Department Visits,Count,2016.0,11,6,8,17,42.0,St. Johns,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=55&ddlYear=2016&selTab=1
Stimulant-involved Non-fatal Overdose Emergency Department Visits,Count,2016.0,<5,<5,<5,<5,10.0,St. Johns,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=55&ddlYear=2016&selTab=1
All Drug Non-fatal Overdose Hospitalizations,Count,2016.0,66,76,79,76,297.0,St. Johns,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=55&ddlYear=2016&selTab=1
